This sheet contains FactSet XML data for use with this workbook's =FDS codes.  Modifying the worksheet's contents may damage the workbook's =FDS functionality.
,,Comps Dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,(US$ mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,Company,Company,,,,Cash &,Total,,Revenue,,,,,,,EBITDA,,,,,,,EBIT,,,,,,,Net Income,,,,,,,Capex,,,,,,,Dividend,,,,,
,,Name,Description,Market Cap,Firm Value, ,Cash Eq.,Debt, ,CY2016,CY2017,CY2018,CY2019,CY2020,CY2021,,CY2016,CY2017,CY2018,CY2019,CY2020,CY2021,,CY2016,CY2017,CY2018,CY2019,CY2020,CY2021, ,CY2016,CY2017,CY2018,CY2019,CY2020,CY2021,,CY2016,CY2017,CY2018,CY2019,CY2020,CY2021,,CY2016,CY2017,CY2018,CY2019,CY2020,CY2021

,,Zeta Inc.,Develops and publishes online mobile and computer games  ,"$6,985  ","$5,130  ",,"$2,063  ",$234  ,,"$1,359  ","$2,197  ","$1,832  ","$1,971  ","$2,201  ","$2,373  ",,$282  ,$498  ,$336  ,$190  ,$347  ,$399  ,,$266  ,$449  ,$219  ,$183  ,$253  ,$291  ,,$158  ,$281  ,$172  ,$144  ,$232  ,$268  ,,$88  ,$30  ,$37  ,$34  ,$35  ,$33  ,,$1  ,$27  ,$27  ,$16  ,$20  ,$16  
,,Fourteen Life,Hosts an online database of user generated reviews of local businesses  ,"$3,324  ","$3,017  ",,$517  ,$305  ,,$894  ,"$1,067  ","$1,182  ","$1,272  ","$1,409  ","$1,554  ",,$40  ,$283  ,$104  ,$124  ,$315  ,$371  ,,($2) ,$20  ,$32  ,$45  ,$88  ,$128  ,,($6) ,$192  ,$69  ,$51  ,$86  ,$118  ,,$47  ,$38  ,$56  ,$47  ,$50  ,$59  ,,$0  ,$0  ,$0  ,$0  ,$0  ,$0  
,,Eta Hill,"Engages in the development, design, manufacture and sale of electronic equipment, consumer & industrial electronics, game consoles & related software and others  ","$101,359  ","$94,520  ",,"$32,137  ","$20,452  ",,"$81,246  ","$91,751  ","$91,671  ","$92,047  ","$96,448  ","$100,864  ",,"$8,131  ","$14,815  ","$17,648  ","$14,054  ","$14,770  ","$16,114  ",,"$4,130  ","$8,310  ","$8,734  ","$9,611  ","$10,201  ","$11,309  ",,($461) ,"$5,780  ","$8,764  ","$6,464  ","$6,783  ","$7,583  ",,"$4,121  ","$2,838  ","$3,274  ","$4,903  ","$5,053  ","$4,809  ",,$271  ,$305  ,$407  ,$585  ,$676  ,$744  
,,Ten Times,"Designs, manufactures and markets family offline games and toys  ","$9,197  ","$8,887  ",,"$3,644  ","$3,334  ",,"$3,987  ","$4,140  ","$3,640  ","$3,755  ","$4,968  ","$5,241  ",,$780  ,$869  ,$456  ,$554  ,"$1,060  ","$1,154  ",,$606  ,$647  ,$335  ,$587  ,$802  ,$917  ,,$439  ,$316  ,$175  ,$414  ,$586  ,$615  ,,$123  ,$107  ,$112  ,$106  ,$126  ,$135  ,,$209  ,$233  ,$258  ,$278  ,$292  ,$308  
,,18 Life,Operates as an investment holding company whose subsidiaries engage in port development and operations  ,"$3,091  ","$3,340  ",,$169  ,$417  ,,$493  ,$506  ,$391  ,$432  ,$472  ,$496  ,,$242  ,$228  ,$244  ,$272  ,$287  ,$305  ,,$194  ,$180  ,$190  ,$219  ,$231  ,$246  ,,$154  ,$158  ,$129  ,$143  ,$161  ,$172  ,,$119  ,$197  ,$51  ,$20  ,$102  ,$98  ,,$116  ,$118  ,$97  ,$107  ,$119  ,$126  
,,Omicron,Engages in providing digital imagery licensing services  ,"$1,454  ","$1,209  ",,$302  ,$57  ,,$492  ,$554  ,$620  ,$647  ,$675  ,$701  ,,$64  ,$65  ,$111  ,$74  ,$101  ,$109  ,,$47  ,$27  ,$32  ,$20  ,$45  ,$56  ,,$32  ,$17  ,$54  ,$20  ,$26  ,$33  ,,$48  ,$58  ,$39  ,$29  ,$29  ,$30  ,,$0  ,$0  ,$106  ,$0  ,$0  ,$0  
,,Epsilon Co,Develops and operates online games  ,$682  ,$387  ,,$297  ,$0  ,,$622  ,$691  ,$576  ,$540  ,$490  ,$503  ,,$236  ,$175  ,$210  ,$182  ,$148  ,$135  ,,$155  ,$211  ,$138  ,$160  ,$131  ,$126  ,,$172  ,$130  ,$100  ,$150  ,$130  ,$123  ,,$15  ,$4  ,$20  ,$20  ,$20  ,$20  ,,$0  ,$0  ,$0  ,$30  ,$0  ,$0  
,,Tau Holdings,"Designs, builds, and runs commercial airports  ","$21,365  ","$28,377  ",,"$2,567  ","$9,636  ",,"$3,818  ","$4,685  ","$5,801  ","$6,088  ","$6,478  ","$6,812  ",,"$1,589  ","$2,000  ","$2,567  ","$2,407  ","$2,418  ","$2,589  ",,$925  ,"$1,140  ","$1,438  ","$1,301  ","$1,474  ","$1,594  ",,$563  ,$740  ,$790  ,$690  ,$809  ,$909  ,,"$1,026  ","$1,139  ","$1,377  ","$1,558  ","$1,411  ","$1,841  ",,$338  ,$443  ,$474  ,$462  ,$487  ,$540  
,,Sweet Sixteen,Operates oil refineries  ,"$6,650  ","$11,110  ",,$427  ,"$4,911  ",,"$12,564  ","$16,082  ","$19,601  ","$18,778  ","$19,665  ","$19,647  ",,"$1,471  ","$1,537  ",$585  ,$543  ,"$1,403  ","$1,536  ",,"$1,245  ","$1,057  ",$492  ,($92) ,$891  ,"$1,027  ",,$928  ,$960  ,$199  ,$67  ,$603  ,$706  ,,$826  ,"$1,860  ","$1,572  ",$595  ,$639  ,$729  ,,$556  ,$529  ,$67  ,$22  ,$228  ,$284  
,,Orionis,Develops and publishes mobile entertainment  ,"$1,581  ","$1,472  ",,$163  ,$54  ,,$257  ,$367  ,$469  ,$526  ,$586  ,$658  ,,($90) ,($109) ,$4  ,$23  ,$53  ,$88  ,,($63) ,($74) ,($11) ,$10  ,$49  ,$78  ,,($112) ,($125) ,($17) ,$21  ,$52  ,$78  ,,$7  ,$15  ,$4  ,$6  ,$7  ,$7  ,,$0  ,$0  ,$0  ,$0  ,$0  ,$0  
,,Theta Limited,"Designs, develops and markets technology solutions  ","$19,533  ","$20,043  ",,$731  ,"$1,241  ",,"$3,398  ","$3,508  ","$3,693  ","$3,739  ","$3,872  ","$4,076  ",,$931  ,$936  ,"$1,058  ",$964  ,"$1,269  ","$1,373  ",,$784  ,$823  ,$864  ,$710  ,"$1,108  ","$1,222  ",,$584  ,$27  ,$715  ,$847  ,$892  ,$987  ,,$138  ,$110  ,$90  ,$83  ,$98  ,$103  ,,$0  ,$0  ,$59  ,$236  ,$79  ,$79  
,,Omega Times,Provides air transportation services for passengers and cargo  ,"$9,768  ","$33,051  ",,"$3,149  ","$26,432  ",,"$31,756  ","$33,686  ","$35,202  ","$36,172  ","$37,600  ","$39,348  ",,"$5,624  ","$5,110  ","$4,028  ","$4,480  ","$4,511  ","$4,817  ",,"$4,748  ","$3,924  ","$2,726  ","$2,929  ","$2,736  ","$2,958  ",,"$2,115  ","$1,013  ","$1,116  ","$1,333  ","$1,717  ","$1,869  ",,"$4,529  ","$4,719  ","$2,960  ","$3,373  ","$2,339  ","$1,628  ",,$140  ,$140  ,$140  ,$140  ,$145  ,$150  
,,Sixth Avenue,"Engages in the development, design, manufacture and sale of game consoles & related software and others  ","$42,386  ","$32,842  ",,"$9,719  ",$173  ,,"$3,473  ","$9,218  ","$10,652  ","$11,473  ","$12,153  ","$11,855  ",,$836  ,"$1,847  ","$2,258  ","$2,952  ","$3,524  ","$3,497  ",,$149  ,"$1,421  ","$2,148  ","$2,854  ","$3,368  ","$3,396  ",,$703  ,"$1,200  ","$1,543  ","$2,047  ","$2,472  ","$2,523  ",,$80  ,$87  ,$93  ,$110  ,$110  ,$109  ,,$127  ,$573  ,$690  ,"$1,011  ","$1,217  ","$1,141  "
,,Rho Sign,Provides satellite communications services  ,$509  ,"$11,485  ",,$669  ,"$11,750  ",,"$1,761  ","$1,730  ","$1,740  ","$1,660  ","$1,589  ","$1,554  ",,"$2,128  ","$1,307  ","$1,166  ",$797  ,"$1,110  ","$1,082  ",,$741  ,$733  ,$758  ,$620  ,$587  ,$611  ,,$797  ,($144) ,($483) ,($735) ,($413) ,($344) ,,$575  ,$372  ,$206  ,$185  ,$221  ,$227  ,,$0  ,$0  ,$0  ,$1  ,$0  ,$0  
,,Kappa Corp,Operates global data centers  ,"$47,106  ","$56,722  ",,"$1,600  ","$11,268  ",,"$3,063  ","$3,704  ","$4,314  ","$4,682  ","$5,114  ","$5,587  ",,"$1,183  ","$1,533  ","$1,850  ","$2,084  ","$2,457  ","$2,713  ",,$621  ,$660  ,$867  ,"$1,020  ","$1,057  ","$1,225  ",,$97  ,$198  ,$310  ,$430  ,$570  ,$668  ,,$944  ,"$1,169  ","$1,778  ","$1,763  ","$1,810  ","$1,712  ",,$503  ,$574  ,$655  ,$707  ,$760  ,$833  
